,Add_0,Add_3,Add_4,Add_5,Add_6,Add_9,Add_10,Add_11,Add_12,Add_13,Add_16,Add_19,Add_20,Add_21,Add_22,Add_24,Add_25,Add_27,Add_28,Add_29,Add_31
Add_0,0,11,17,14,17,16,14,11,6,17,13,18,5,17,13,17,17,10,15,10,10
Add_3,9,0,10,7,11,10,7,5,5,11,6,11,5,11,7,10,10,4,9,2,4
Add_4,17,10,0,4,5,3,4,7,12,6,7,4,12,1,6,1,0,8,4,10,8
Add_5,13,6,5,0,6,2,0,4,9,6,1,7,9,6,3,6,5,4,2,6,5
Add_6,17,10,5,6,0,6,5,8,13,1,7,4,13,4,8,5,5,8,6,9,8
Add_9,16,9,3,2,6,0,2,5,10,6,3,6,12,5,2,4,4,7,1,9,8
Add_10,14,7,5,0,6,2,0,4,9,6,1,6,9,6,3,5,5,5,2,7,5
Add_11,11,4,7,4,8,6,4,0,7,8,3,8,7,7,3,7,7,2,4,4,2
Add_12,6,5,11,9,12,10,9,6,0,13,8,13,1,12,8,12,12,6,9,6,6
Add_13,18,10,5,6,1,6,5,8,13,0,7,3,13,5,8,5,5,9,6,9,9
Add_16,12,5,6,1,7,3,2,3,8,7,0,7,8,7,2,6,6,3,3,5,4
Add_19,18,11,4,7,4,6,6,8,13,3,8,0,14,3,9,3,4,9,7,11,9
Add_20,5,6,12,9,13,12,9,7,1,13,8,13,0,13,9,13,12,6,11,6,6
Add_21,17,10,1,6,5,5,5,8,13,5,7,3,13,0,7,0,1,8,5,10,9
Add_22,13,6,7,2,8,2,3,3,9,8,2,8,9,8,0,7,7,5,2,6,5
Add_24,17,10,1,6,5,4,5,8,12,5,7,3,13,0,7,0,1,8,5,10,8
Add_25,17,10,0,6,5,3,5,7,12,5,7,3,12,1,7,0,0,8,5,10,8
Add_27,10,3,8,5,9,8,6,3,6,9,4,9,6,9,5,9,8,0,7,2,0
Add_28,14,7,4,2,6,1,2,4,9,6,3,6,10,5,2,5,5,6,0,7,6
Add_29,11,4,9,7,8,8,6,3,6,9,6,10,6,9,7,9,9,2,8,0,2
Add_31,10,3,8,5,9,8,6,3,6,9,5,9,6,9,5,9,8,0,7,2,0
